item_id,restaurant_id,item_name,price,is_available
1,155,Probably Sushi,16.54,True
2,229,I Roll,26.98,True
3,9,Million Roll,26.12,True
4,145,Energy Pizza,45.87,False
5,395,Nothing Pizza,6.61,True
6,462,Set Pizza,49.6,True
7,104,Walk Salad,26.99,True
8,384,Simply Sushi,33.2,True
9,372,Research Burger,27.41,True
10,280,Where Pasta,33.92,True
11,79,Range Roll,39.57,True
12,11,Go Roll,17.57,True
13,455,Plant Sushi,45.52,True
14,149,Trouble Roll,11.75,True
15,135,Hope Sushi,35.88,True
16,119,Hot Burger,13.23,True
17,402,Upon Pasta,11.07,True
18,69,Investment Sushi,48.33,True
19,495,Role Roll,15.74,True
20,494,Ever Sandwich,20.37,True
21,97,Require Burger,39.54,True
22,445,Yard Pasta,37.86,True
23,212,Force Pizza,42.5,False
24,354,Own Sushi,26.01,True
25,32,Actually Pizza,11.54,True
26,78,Ready Pizza,8.97,True
27,286,Wide Pizza,49.1,True
28,460,Into Soup,37.53,True
29,113,Produce Pasta,26.75,True
30,40,Them Salad,26.26,True
31,268,Color Sandwich,49.54,True
32,58,Factor Pasta,8.02,False
33,485,Enough Burger,46.34,True
34,195,Everybody Salad,38.31,True
35,462,Staff Pasta,15.19,False
36,432,Usually Sandwich,14.9,True
37,353,Year Sushi,18.51,True
38,197,Industry Burger,28.52,True
39,13,Threat Sushi,18.34,True
40,379,Security Roll,36.8,True
41,31,Use Sushi,35.7,True
42,235,Prevent Pizza,14.36,True
43,300,Anything Burger,8.92,False
44,313,Certainly Pizza,18.34,True
45,296,Middle Pasta,31.95,False
46,449,They Soup,49.17,False
47,287,Just Soup,30.38,True
48,299,Particularly Sushi,46.12,True
49,459,Firm Pizza,27.15,True
50,307,Require Sandwich,30.73,False
51,443,Clear Pasta,23.09,True
52,307,Tv Salad,48.36,True
53,455,Chance Soup,19.23,True
54,290,Law Pasta,19.26,True
55,249,Major Soup,28.97,True
56,212,Civil Soup,29.53,True
57,268,Beautiful Salad,17.18,True
58,417,Party Salad,49.28,True
59,170,Fall Burger,43.29,True
60,266,Weight Salad,7.02,True
61,462,Together Pasta,18.56,True
62,166,Avoid Pasta,16.92,True
63,59,Yes Pizza,15.22,True
64,376,Article Sushi,10.01,True
65,265,History Pizza,13.37,True
66,361,Forward Sandwich,47.46,True
67,121,Attorney Soup,6.21,True
68,480,Future Salad,25.63,True
69,182,Fish Pizza,5.89,True
70,142,Word Sandwich,33.55,True
71,76,Born Pizza,9.8,False
72,467,Blue Sushi,7.78,True
73,298,Write Sushi,33.01,True
74,30,Measure Burger,22.28,True
75,306,Rock Pizza,17.12,True
76,242,Mind Soup,42.44,True
77,159,Let Sushi,20.04,True
78,73,Production Sushi,20.02,True
79,445,Rock Sandwich,19.65,False
80,312,Change Pizza,31.9,True
81,100,Real Burger,5.84,False
82,229,Sister Salad,41.66,True
83,496,Parent Salad,25.85,True
84,170,Must Pizza,28.65,True
85,109,Develop Sandwich,8.35,True
86,14,Let Roll,46.26,True
87,271,Which Salad,32.44,True
88,355,Situation Roll,42.5,True
89,190,Me Burger,39.06,True
90,220,Itself Pizza,31.9,True
91,231,Question Pizza,38.56,True
92,327,Policy Pasta,9.32,True
93,43,Responsibility Pizza,33.34,True
94,315,Card Soup,24.99,True
95,464,Time Roll,35.34,True
96,58,Camera Burger,21.64,False
97,476,Sister Sushi,15.72,True
98,332,Into Pasta,5.87,True
99,227,Manager Roll,49.92,True
100,5,Yet Roll,43.22,False
101,125,Me Sandwich,38.54,True
102,410,Art Sandwich,13.84,True
103,450,Law Soup,7.45,True
104,376,Candidate Salad,21.24,True
105,246,Add Salad,6.19,True
106,177,Focus Soup,22.77,False
107,410,Decision Pasta,12.07,True
108,24,News Pasta,33.42,True
109,163,Month Burger,42.35,True
110,386,Situation Pasta,27.69,True
111,47,Eight Roll,26.55,True
112,23,Memory Pizza,49.25,False
113,232,Teach Pizza,46.4,True
114,94,Experience Pasta,5.38,True
115,148,Gas Roll,27.43,True
116,55,Sure Sushi,23.48,True
117,113,Explain Salad,39.88,True
118,73,Let Pasta,28.02,True
119,2,Art Sandwich,43.17,True
120,483,Right Sushi,27.21,True
121,116,Campaign Burger,23.97,True
122,328,Where Burger,24.74,True
123,452,Election Roll,49.32,True
124,356,No Pizza,21.18,True
125,197,Keep Soup,41.5,True
126,214,Avoid Roll,21.14,True
127,258,National Salad,25.15,True
128,162,Commercial Salad,27.73,True
129,358,Such Sushi,12.2,True
130,156,Continue Salad,5.48,True
131,72,Hour Pizza,31.97,True
132,159,Ready Sushi,42.1,True
133,237,From Pasta,47.73,True
134,418,Finally Burger,8.55,True
135,235,Entire Roll,39.6,True
136,50,Few Sushi,24.13,True
137,428,Page Pizza,24.88,True
138,328,Return Soup,6.51,True
139,318,Could Sandwich,15.67,True
140,120,Every Salad,37.36,True
141,212,Page Burger,19.19,True
142,461,Operation Pasta,28.31,True
143,95,Then Pizza,31.34,True
144,447,Blue Pizza,48.37,True
145,274,Player Sushi,12.23,True
146,176,Until Roll,33.22,True
147,468,Study Salad,34.06,True
148,201,Morning Roll,5.31,True
149,95,Beautiful Pizza,44.07,True
150,406,Exist Burger,39.01,True
151,188,Keep Sandwich,14.44,False
152,413,Us Sandwich,27.09,True
153,85,There Soup,5.95,True
154,33,Likely Soup,13.98,True
155,295,Listen Salad,18.0,True
156,11,Always Pizza,6.84,True
157,158,Week Salad,32.39,True
158,261,Decade Pizza,11.9,True
159,281,Campaign Salad,31.97,True
160,121,Subject Roll,25.46,True
161,336,Bag Salad,36.46,True
162,367,Big Roll,43.19,True
163,255,Some Sandwich,39.83,True
164,381,Throughout Salad,8.46,False
165,376,First Pasta,15.74,True
166,73,Number Roll,32.24,True
167,218,Rise Sushi,15.02,True
168,352,Decade Burger,11.61,True
169,291,Build Salad,17.16,True
170,143,Religious Sushi,27.21,True
171,374,Real Soup,9.29,True
172,2,Difference Soup,30.28,True
173,408,Hope Roll,45.43,True
174,268,Simple Soup,27.83,True
175,260,If Salad,15.48,True
176,98,Month Pizza,26.59,False
177,330,Authority Pizza,32.29,True
178,193,Call Pasta,15.96,True
179,361,He Sushi,20.78,True
180,467,Push Pizza,36.18,True
181,479,Benefit Sandwich,13.23,False
182,108,Where Sushi,25.46,True
183,425,Whatever Sushi,24.94,True
184,107,Report Sushi,11.01,True
185,129,Sport Pasta,30.52,True
186,170,Man Burger,39.75,True
187,199,Everything Sushi,15.24,True
188,437,Special Salad,45.91,True
189,355,Wall Sandwich,10.86,True
190,56,Stay Sandwich,35.48,True
191,5,Do Sandwich,9.95,False
192,78,Safe Salad,32.91,True
193,287,Beyond Roll,40.5,True
194,233,Gas Soup,47.06,True
195,319,Look Salad,21.23,True
196,353,History Pizza,32.92,True
197,296,General Burger,9.28,True
198,165,Traditional Pasta,46.58,False
199,356,Ok Pasta,29.52,True
200,258,Price Soup,42.09,True
201,8,Heart Pasta,16.5,True
202,395,Population Roll,16.13,True
203,54,Minute Sandwich,46.22,True
204,18,Especially Sandwich,22.85,True
205,191,Draw Sushi,21.78,False
206,386,Popular Soup,23.92,True
207,330,More Burger,19.42,True
208,225,Teach Soup,8.38,True
209,438,Size Sushi,13.57,True
210,390,Tough Sushi,43.21,False
211,4,Prove Sandwich,33.23,True
212,7,Marriage Roll,32.73,True
213,347,Success Burger,33.32,False
214,361,Visit Salad,18.94,True
215,359,Natural Pasta,33.9,True
216,368,Use Sushi,33.71,True
217,467,There Pizza,10.57,True
218,488,Deal Pasta,33.84,False
219,324,Responsibility Pizza,12.36,True
220,88,Beautiful Burger,6.94,True
221,420,Organization Pasta,25.84,True
222,234,Team Sandwich,26.33,True
223,19,Nor Sandwich,15.17,True
224,260,Minute Roll,9.24,True
225,242,Region Burger,43.84,True
226,346,Piece Burger,24.73,True
227,189,Others Sandwich,13.84,True
228,289,National Sushi,18.15,False
229,472,Question Salad,28.54,True
230,362,Former Burger,17.69,True
231,243,Instead Sandwich,42.84,True
232,182,True Burger,32.96,True
233,21,May Soup,29.81,True
234,276,Machine Sandwich,5.47,True
235,171,Person Sushi,26.9,True
236,312,Clearly Pasta,9.23,False
237,100,To Salad,16.34,True
238,103,Modern Salad,25.11,True
239,335,Establish Burger,8.9,True
240,335,Create Salad,23.0,True
241,187,Knowledge Salad,19.01,True
242,134,Rise Roll,11.82,True
243,413,Exactly Soup,36.2,True
244,462,Discuss Roll,36.37,True
245,407,She Burger,10.8,False
246,490,Key Soup,16.87,True
247,310,Beat Pasta,28.85,True
248,332,Former Sandwich,14.52,False
249,111,Item Sushi,19.63,True
250,378,Opportunity Sushi,48.13,True
251,364,Executive Pizza,32.4,True
252,101,Enter Salad,41.88,True
253,298,Production Sandwich,31.66,False
254,418,Of Sandwich,42.79,True
255,76,Some Pizza,18.19,True
256,310,Feel Salad,48.94,True
257,52,Dog Pasta,18.24,True
258,40,Relate Sushi,13.08,True
259,302,Meet Burger,44.76,True
260,256,Against Burger,15.43,False
261,244,Mission Pizza,9.85,True
262,133,Decide Sushi,25.22,True
263,206,Onto Burger,11.18,True
264,337,Agreement Soup,27.11,True
265,72,Spring Salad,14.41,True
266,349,Dream Sushi,43.37,False
267,340,Lead Salad,45.3,True
268,255,Reason Burger,24.96,True
269,2,Poor Pasta,24.73,True
270,313,Control Burger,13.02,True
271,327,Talk Roll,35.43,True
272,42,Voice Burger,18.24,True
273,329,Check Salad,23.46,True
274,249,Lay Pizza,23.48,True
275,59,May Salad,45.7,True
276,177,Job Pasta,46.36,True
277,253,At Pasta,23.28,False
278,493,High Soup,33.72,True
279,186,Many Salad,19.55,True
280,127,Five Salad,8.43,True
281,397,Development Pizza,37.92,True
282,210,He Salad,46.04,True
283,261,Son Salad,17.91,True
284,403,Gas Roll,32.93,True
285,267,Task Pizza,41.66,True
286,58,Too Sushi,21.21,True
287,498,Table Pizza,44.99,False
288,447,Skin Salad,6.52,True
289,173,Team Soup,46.89,True
290,422,Yes Soup,8.4,True
291,194,Improve Soup,33.94,True
292,261,Indicate Roll,44.38,True
293,268,Because Soup,47.2,True
294,266,Its Pasta,26.08,True
295,40,Card Roll,41.49,True
296,149,Generation Burger,40.19,True
297,423,Professional Pizza,39.13,True
298,273,Short Sushi,29.52,True
299,13,Style Roll,27.02,True
300,350,Short Pasta,39.96,True
301,32,Apply Pasta,16.52,True
302,220,Few Roll,49.43,True
303,170,Analysis Pasta,33.93,True
304,345,Story Sushi,9.58,True
305,339,From Burger,49.38,True
306,174,Day Roll,5.68,True
307,3,Use Burger,14.73,True
308,73,Free Soup,5.58,True
309,191,With Sushi,22.05,True
310,82,Less Burger,25.97,False
311,400,Ok Pasta,37.72,True
312,27,Hotel Pasta,36.38,True
313,355,Still Soup,39.27,True
314,174,During Soup,40.49,True
315,394,Song Pasta,48.27,True
316,70,Interest Roll,49.34,True
317,189,Who Burger,35.99,False
318,437,Relationship Burger,41.7,True
319,315,Produce Burger,18.1,True
320,464,Approach Burger,13.47,True
321,421,Talk Salad,16.98,True
322,222,Beat Sandwich,23.1,False
323,403,Never Sandwich,35.08,True
324,18,Career Sushi,9.86,True
325,319,Forward Pizza,19.87,True
326,291,Agency Burger,15.04,True
327,60,Significant Salad,41.25,True
328,255,Development Sandwich,11.46,True
329,411,Serious Pizza,35.01,True
330,484,Lead Pizza,35.3,True
331,302,Deep Salad,17.51,True
332,44,Method Pasta,22.24,True
333,218,Past Sandwich,37.05,True
334,241,It Soup,43.28,True
335,169,Poor Roll,19.3,True
336,287,Garden Salad,18.92,True
337,490,Security Salad,39.11,True
338,378,Garden Sushi,42.15,True
339,233,Buy Pizza,36.79,True
340,227,Billion Salad,6.3,True
341,127,Too Pasta,19.37,True
342,192,Until Burger,39.98,True
343,90,Son Sushi,24.14,True
344,347,Room Burger,16.13,False
345,43,Teacher Sandwich,47.2,True
346,341,Word Pasta,40.78,True
347,404,Industry Soup,30.86,True
348,89,Society Pasta,44.65,True
349,65,Even Burger,45.46,True
350,103,Main Burger,8.3,True
351,395,According Sushi,34.09,True
352,481,Wait Sushi,23.43,True
353,246,Population Sushi,21.68,True
354,238,Television Burger,24.85,True
355,320,Door Pizza,22.21,True
356,249,Good Pasta,36.95,True
357,305,Author Burger,13.8,True
358,391,Threat Sushi,13.04,True
359,288,Senior Sushi,26.27,True
360,415,Bar Burger,24.19,True
361,254,Republican Pizza,15.33,True
362,23,Follow Soup,33.6,True
363,264,Capital Soup,38.89,True
364,280,Degree Pizza,41.96,False
365,381,Animal Sandwich,43.58,True
366,285,Radio Burger,49.46,True
367,470,Real Pizza,39.4,True
