order_item_id,order_id,item_id,quantity,item_price
1,1,1538,3,12.7
2,2,1693,1,12.38
3,3,1926,1,14.54
4,3,3806,2,49.32
5,4,4626,3,27.21
6,4,1452,3,28.57
7,5,3156,2,46.57
8,5,4546,3,6.97
9,5,3689,2,10.33
10,5,3910,1,11.22
11,6,286,2,21.21
12,6,2409,1,19.31
13,6,4090,1,5.14
14,6,4342,1,49.46
15,6,219,2,12.36
16,7,2512,3,7.01
17,7,3468,2,34.94
18,7,4761,1,31.06
19,8,2612,2,37.42
20,8,1221,1,34.25
21,8,4328,1,10.55
22,8,3694,1,13.68
23,8,3563,1,23.96
24,9,3633,1,40.49
25,9,1971,1,28.09
26,9,516,3,7.59
27,9,565,1,19.2
28,10,328,1,11.46
29,10,869,2,9.68
30,11,2077,3,20.47
31,11,4590,3,10.81
32,12,3203,3,16.8
33,13,4959,3,26.34
34,13,1773,1,24.66
35,13,3276,1,22.84
36,14,885,2,29.11
37,15,2991,1,11.97
38,15,3738,1,40.98
39,15,548,2,36.21
40,16,227,1,13.84
41,16,4456,1,20.93
42,16,4149,1,35.8
43,17,2946,1,32.81
44,17,2914,2,14.44
45,17,2244,1,9.08
46,17,2214,2,16.84
47,17,4163,3,12.88
48,18,283,3,17.91
49,18,562,1,19.65
50,19,3542,3,15.19
51,19,4515,2,25.5
52,20,4102,2,10.34
53,20,3176,3,41.7
54,20,3955,1,26.58
55,21,1653,2,27.85
56,21,2774,1,47.59
57,21,657,1,25.0
58,21,1509,1,16.8
59,22,1034,3,16.73
60,23,3069,1,48.72
61,23,3701,3,36.89
62,23,2178,3,34.24
63,24,1447,3,45.97
64,24,2854,3,44.88
65,25,1183,3,29.43
66,26,425,2,39.21
67,27,1812,2,26.8
68,27,2192,3,19.91
69,28,2957,3,46.47
70,28,3770,1,41.07
71,29,2154,1,19.88
72,29,1353,3,45.36
73,30,3622,2,43.54
74,30,1991,1,35.35
75,31,2531,3,10.93
76,31,1049,1,49.95
77,31,4491,3,11.95
78,32,3166,2,45.48
79,32,4817,2,32.42
80,33,4513,3,23.69
81,34,141,1,19.19
82,34,4001,1,30.15
83,34,2199,2,18.95
84,34,821,2,25.74
85,34,1164,3,27.71
86,34,840,2,42.23
87,35,2385,3,34.31
88,35,1036,2,19.2
89,35,459,2,28.79
90,36,1825,1,34.19
91,36,2497,2,49.24
92,37,1579,1,45.96
93,38,1969,3,31.9
94,39,3357,1,14.95
95,39,2549,2,49.35
96,40,4957,2,21.41
97,40,4064,1,39.36
98,41,2845,1,18.27
99,41,3692,3,27.09
100,41,892,2,13.84
101,41,1476,3,20.7
102,41,1158,2,10.55
103,41,4633,2,39.8
104,42,4502,2,48.08
105,42,4752,2,10.33
106,43,940,3,39.05
107,44,4574,2,23.37
108,44,234,1,5.47
109,44,3457,3,6.28
110,45,4967,3,15.2
111,46,1066,1,38.25
112,46,2613,1,32.37
113,46,2234,3,13.55
114,47,2178,3,34.24
115,47,1057,3,30.55
116,47,324,3,9.86
117,48,4135,1,15.26
118,48,3828,1,41.02
119,49,1143,3,28.49
120,49,1175,1,48.1
121,49,1277,2,15.73
122,49,265,1,14.41
123,50,696,2,5.06
124,50,3015,2,18.82
125,51,4289,3,9.8
126,52,935,1,18.1
127,52,3751,1,46.31
128,52,94,2,24.99
129,53,4343,3,18.48
130,53,1640,2,5.59
131,53,559,3,45.6
132,53,1288,2,36.01
133,53,632,2,36.49
134,54,1177,2,10.44
135,55,2033,1,47.24
136,55,4404,1,35.75
137,55,2269,2,24.8
138,56,2516,2,23.51
139,56,1422,1,37.69
140,57,1485,2,13.27
141,58,2584,3,17.23
142,59,2599,2,46.27
143,59,3983,2,33.46
144,59,3882,3,30.65
145,60,4927,3,29.52
146,60,4320,2,18.95
147,60,1923,2,47.52
148,61,3809,2,31.3
149,61,611,2,11.13
150,61,3232,2,39.01
151,61,13,2,45.52
152,61,2850,2,29.27
153,61,579,3,25.33
154,62,125,1,41.5
155,63,1271,1,43.12
156,63,3002,2,17.13
157,63,3760,3,14.64
158,64,2625,1,10.26
159,64,2139,1,46.93
160,65,188,1,45.91
161,65,2442,3,38.49
162,65,3717,2,16.04
163,65,4239,1,7.11
164,65,397,2,37.92
165,66,4099,3,32.11
166,66,2741,2,41.84
167,66,2212,2,35.66
168,66,4327,3,32.22
169,67,624,3,43.65
170,67,3428,2,10.57
171,67,3157,3,39.42
172,68,2730,1,7.93
173,68,3261,3,45.35
174,68,719,1,49.45
175,68,1725,2,44.82
176,68,2152,3,40.72
177,69,183,2,24.94
178,70,1793,2,28.8
179,70,2356,3,36.93
180,70,4656,3,45.0
181,70,2771,3,27.14
182,71,2836,1,24.61
183,71,3408,3,14.35
184,72,3070,2,14.18
185,72,207,3,19.42
186,72,4173,1,44.02
187,72,38,2,28.52
188,73,4684,1,46.0
189,73,2682,3,13.4
190,74,375,3,41.94
191,74,3290,3,20.92
192,75,2204,3,20.03
193,75,3689,2,10.33
194,76,2760,3,40.04
195,76,4228,2,28.22
196,77,2715,1,26.59
197,77,1103,2,9.38
198,77,2491,2,8.86
199,78,1925,2,25.72
200,79,1534,2,44.15
201,79,2689,2,31.58
202,79,1756,3,10.22
203,79,253,1,31.66
204,80,2747,2,39.62
205,81,4549,3,22.54
206,82,4330,1,41.45
207,82,396,1,47.24
208,82,2142,3,12.27
209,83,687,1,17.61
210,83,3117,2,20.87
211,84,4455,3,47.84
212,84,1058,2,36.36
213,84,737,3,7.16
214,85,3787,2,21.67
215,86,3687,1,30.63
216,86,103,1,7.45
217,87,701,1,42.92
218,88,3823,3,10.15
219,88,1309,3,29.06
220,88,1049,2,49.95
221,88,2202,2,47.65
222,89,949,2,24.34
223,90,1011,1,40.82
224,91,746,1,43.98
225,92,4529,1,21.15
226,93,939,3,18.63
227,93,714,3,23.4
228,94,3144,3,32.8
229,94,485,3,12.8
230,95,3064,1,16.61
231,95,3218,3,46.9
232,96,1491,3,44.9
233,97,4106,3,37.32
234,97,1730,3,47.43
235,97,858,2,5.91
236,97,4513,1,23.69
237,97,3535,3,44.11
238,98,1352,3,20.78
239,99,2649,3,44.46
240,100,1627,2,30.78
241,100,3260,2,35.34
242,100,3158,1,18.16
243,101,2329,1,23.6
244,102,596,2,39.05
245,103,1150,2,14.21
246,103,3594,1,28.6
247,104,4442,2,14.09
248,104,1199,2,16.61
249,105,4595,1,44.36
250,105,1682,1,22.21
251,105,4333,2,32.61
252,105,4559,3,10.56
253,105,898,2,17.84
254,105,4505,3,40.6
255,106,843,3,23.66
256,106,2337,2,38.53
257,106,1786,2,19.09
258,106,4267,3,20.34
259,106,3167,2,6.54
260,107,1541,2,23.3
261,107,3284,1,20.15
262,107,1703,2,22.04
263,107,979,3,21.58
264,107,821,2,25.74
265,108,2316,2,44.44
266,109,4871,2,28.65
267,109,3061,2,9.36
268,110,493,2,33.95
269,110,1941,2,9.45
270,110,2208,2,33.97
271,111,3580,3,14.6
272,111,3916,2,32.52
273,111,1114,3,9.13
274,111,2950,1,38.52
275,112,927,2,45.75
276,112,3119,3,40.14
277,112,3314,1,19.58
278,113,260,3,15.43
279,113,3052,3,48.7
280,113,3521,2,46.64
281,114,3291,2,27.83
282,114,4056,2,44.85
283,115,703,2,21.22
284,115,4459,2,7.86
285,116,3060,1,38.07
286,116,4963,2,19.94
287,117,4280,3,42.63
288,117,3535,2,44.11
289,117,4368,3,25.19
290,118,2799,2,46.02
291,119,4481,1,42.26
292,119,301,2,16.52
293,119,4516,2,5.73
294,120,3881,3,30.24
295,120,353,3,21.68
296,121,3308,2,33.17
297,121,4138,2,31.55
298,121,366,3,49.46
299,122,2770,1,28.59
300,122,2002,1,35.71
301,122,1509,1,16.8
302,122,3300,2,31.19
303,123,1527,2,7.74
304,123,4850,2,19.44
305,124,4039,3,21.48
306,124,1248,3,31.99
307,125,4545,1,38.05
308,125,112,1,49.25
309,126,3210,1,12.49
310,126,1015,2,49.14
311,126,2104,1,49.73
312,127,3227,3,20.87
313,127,1367,1,38.04
314,128,4855,1,17.33
315,128,24,1,26.01
316,129,2975,3,26.39
317,129,74,3,22.28
318,130,4001,1,30.15
319,130,2573,2,8.17
320,131,2630,2,42.9
321,131,4822,3,9.32
322,132,1071,3,42.26
323,132,681,3,9.02
324,133,2990,1,47.25
325,133,2369,3,43.74
326,133,694,1,38.87
327,133,1392,1,36.59
328,133,748,2,46.74
329,134,3038,2,10.17
330,134,283,3,17.91
331,134,3302,2,43.98
332,135,3353,3,9.4
333,136,2609,3,49.21
334,137,470,1,49.82
335,138,713,1,20.97
336,138,3386,3,13.23
337,139,3869,1,27.78
338,139,2332,3,31.65
339,139,4279,3,40.98
340,140,1314,2,45.89
341,140,3041,2,34.43
342,141,2902,1,29.7
343,141,4362,1,32.16
344,141,2405,2,17.43
345,142,1947,2,15.84
346,142,958,1,13.02
347,142,1816,2,27.3
348,142,1255,1,19.18
349,143,3497,2,11.66
350,143,2901,3,37.48
351,144,3637,1,30.15
352,144,4689,1,31.39
353,144,2402,3,14.91
354,144,2547,3,27.87
355,145,1689,3,19.26
356,145,4583,3,41.11
357,145,1836,1,25.66
358,145,1330,3,33.55
359,145,1797,2,37.8
360,145,4293,3,6.3
361,146,2601,3,18.36
362,146,4232,3,7.97
363,147,4162,2,14.28
364,147,2949,2,9.2
365,148,2023,1,28.63
366,149,798,3,47.05
367,149,3806,2,49.32
368,149,3721,2,40.21
369,150,11,3,39.57
370,150,326,2,15.04
371,151,3319,3,17.51
372,151,49,3,27.15
373,152,2241,2,39.37
374,153,1804,2,40.4
375,153,188,1,45.91
376,153,4773,2,16.93
377,154,1962,1,21.59
378,154,816,1,36.36
379,155,4176,2,31.06
380,155,4985,1,32.17
381,155,2146,3,5.09
382,156,2692,3,19.97
383,156,532,2,10.42
384,156,3610,3,41.89
385,157,3598,1,15.67
386,157,3454,3,16.53
387,157,3237,2,36.22
388,158,4862,3,24.46
389,159,2655,1,8.47
390,159,3072,2,35.51
391,159,222,1,26.33
392,159,3091,3,20.52
393,160,4764,3,42.2
394,161,3,2,26.12
395,161,3750,2,26.86
396,162,3026,3,35.75
397,162,747,3,29.0
398,162,3493,1,11.43
399,162,2756,1,9.81
400,162,4381,2,20.45
401,163,2709,2,6.31
402,163,3732,1,7.36
403,163,2470,2,40.58
404,164,981,1,41.51
405,164,1482,1,19.4
406,164,3766,2,20.6
407,165,4599,2,38.47
408,165,2416,2,27.88
409,166,4613,2,21.15
410,166,790,1,9.42
411,167,902,3,6.39
412,168,1686,1,5.91
413,168,903,2,45.67
414,169,2523,2,6.93
415,169,1333,1,7.54
416,169,799,3,37.54
417,170,4801,3,35.93
418,171,2691,1,7.37
419,171,1113,2,38.99
420,172,1325,3,19.93
421,173,92,2,9.32
422,173,3504,1,20.84
423,174,3681,2,29.1
424,174,34,3,38.31
425,174,4056,1,44.85
426,174,1801,1,31.07
427,174,2259,1,17.11
428,174,1583,3,8.14
429,175,4670,3,9.86
430,175,4633,2,39.8
431,176,3166,2,45.48
432,177,2470,2,40.58
433,177,4295,1,38.78
434,177,1657,1,31.74
435,177,265,3,14.41
436,177,2180,2,35.45
437,177,3666,3,41.04
438,178,623,2,11.89
439,178,263,2,11.18
440,179,2381,2,47.14
441,179,2054,1,47.83
442,179,2837,2,15.04
443,180,4170,3,10.33
444,180,2663,2,6.4
445,180,1983,3,32.42
446,181,1037,2,25.37
447,181,4698,1,18.27
448,181,1331,2,32.06
449,182,2660,3,29.24
450,182,1687,3,10.65
451,182,76,1,42.44
452,182,321,3,16.98
453,183,2464,2,49.89
454,183,13,1,45.52
455,184,4869,3,8.7
456,184,3899,1,49.88
457,185,3186,2,42.08
458,185,3372,1,21.81
459,185,2851,1,20.96
460,185,2969,1,36.93
461,186,4239,1,7.11
462,186,4237,1,35.9
463,187,82,1,41.66
464,187,4558,3,47.17
465,187,457,2,9.44
466,188,3439,2,38.2
467,188,1531,2,8.32
468,189,2841,2,46.06
469,189,420,3,5.52
470,189,1639,3,37.2
471,190,3542,2,15.19
472,191,1484,2,6.22
473,191,2536,3,49.03
474,192,2268,1,39.24
475,192,2018,3,43.6
476,192,1086,1,8.77
477,193,1853,2,26.53
478,193,667,2,17.29
479,194,2252,2,13.8
480,195,4023,1,10.68
481,195,1571,2,13.87
482,196,4129,2,16.45
483,196,1137,1,25.46
484,196,2042,1,44.43
485,196,4389,2,14.21
486,196,1254,2,7.9
487,197,3092,2,22.27
488,197,2045,2,44.5
489,197,671,2,19.68
490,198,1736,2,35.12
491,198,3706,1,28.14
492,198,4692,2,43.95
493,199,1998,2,39.9
494,199,4744,1,21.2
495,200,3168,1,10.15
496,200,4592,2,42.45
497,200,105,2,6.19
498,200,4953,2,17.5
499,201,2515,2,26.18
500,202,3220,2,28.95
501,203,2324,2,8.99
502,203,2520,2,30.76
503,204,2846,2,27.37
504,204,4140,1,22.41
505,205,2542,3,7.01
506,205,2132,3,46.27
507,205,4128,1,17.9
508,205,4284,3,32.57
509,205,4511,2,36.71
510,205,858,3,5.91
511,205,1989,3,38.69
512,206,757,3,41.24
513,207,532,1,10.42
514,207,1727,2,33.75
515,207,4880,3,6.62
516,208,2773,3,36.72
517,208,3999,1,5.94
518,208,4701,1,41.85
519,208,103,2,7.45
520,209,1649,2,9.01
521,209,3475,2,30.3
522,210,667,3,17.29
523,210,3999,3,5.94
524,210,4562,3,31.21
525,210,3698,1,30.44
526,210,1288,3,36.01
527,210,2626,3,35.81
528,211,360,3,24.19
529,212,2358,2,7.6
530,212,1944,2,24.26
531,213,3451,3,32.9
532,214,1678,2,31.99
533,214,4285,2,26.38
534,214,3198,2,45.91
535,214,687,3,17.61
536,214,3745,3,45.96
537,214,2301,2,28.31
538,215,4462,1,16.43
539,216,2973,2,15.2
540,216,2137,3,48.18
541,217,4040,2,34.16
542,217,3986,3,22.1
543,218,3307,1,28.36
544,218,3741,2,5.39
545,219,3540,2,39.85
546,219,1862,1,32.07
547,220,1549,1,27.21
548,220,3465,3,42.5
549,220,1161,3,45.27
550,220,4012,3,27.74
551,220,801,3,24.38
552,220,2950,1,38.52
