id,order_id,promo_id,discount_amount
1,21727,50,16.02
2,14076,19,12.29
3,22955,41,0.59
4,22891,40,16.34
5,12933,2,40.87
6,44563,11,44.31
7,14951,12,4.77
8,23222,37,44.04
9,4249,34,21.54
10,16108,34,16.76
11,4573,3,17.09
12,44858,46,22.34
13,26806,42,20.85
14,23670,44,104.09
15,13682,50,78.64
16,2796,5,73.15
17,17538,50,21.55
18,44736,17,17.78
19,26657,33,51.01
20,4693,30,60.34
21,48794,39,60.69
22,2343,13,38.14
23,48031,34,4.62
24,43181,33,45.68
25,42833,40,102.74
26,16143,47,15.23
27,2046,7,22.94
28,11978,28,23.68
29,29470,3,113.63
30,7858,45,49.17
31,11895,24,60.24
32,26882,10,3.32
33,13608,17,9.68
34,1403,31,5.52
35,1473,13,96.34
36,33191,13,6.44
37,45423,3,16.47
38,38515,48,101.63
39,47785,45,11.09
40,12800,47,11.83
41,26353,30,56.56
42,4820,35,7.49
43,21563,19,18.69
44,27983,5,27.24
45,37052,49,57.36
46,2147,44,30.81
47,39621,44,56.04
48,19662,16,5.48
49,39634,47,1.29
50,16117,47,12.48
51,16757,10,67.36
52,31231,4,25.63
53,38593,12,18.1
54,15900,44,108.54
55,34429,42,76.47
56,25405,45,6.62
57,2299,9,1.25
58,34166,6,81.43
59,26206,19,13.06
60,16799,50,26.72
61,40641,43,20.28
62,36184,1,12.41
63,47054,28,58.92
64,42193,44,57.59
65,37915,9,53.64
66,47205,41,6.78
67,25530,47,22.35
68,49606,30,42.48
69,41956,6,85.16
70,19716,5,85.82
71,235,35,23.71
72,5633,36,73.08
73,21798,9,6.16
74,44747,34,2.42
75,10620,35,31.43
76,22517,11,10.93
77,5829,50,12.65
78,24639,10,36.05
79,244,5,32.75
80,49550,20,28.31
81,46117,2,10.19
82,31519,16,81.19
83,42842,41,5.94
84,19124,2,10.62
85,29903,22,46.89
86,20744,12,14.92
87,4157,2,13.81
88,30736,15,6.01
89,47327,23,34.26
90,23545,40,91.52
91,46163,17,15.28
92,25761,30,59.64
93,24299,13,21.47
94,47264,30,34.56
95,37969,7,19.39
96,45790,41,6.38
97,47239,12,1.64
98,1180,25,13.29
99,24952,7,30.81
100,24809,45,23.85
101,12833,19,63.34
102,33992,16,45.11
103,46850,37,107.23
104,21188,2,16.91
105,40718,5,74.02
106,21185,36,4.45
107,6965,15,10.44
108,31030,10,24.09
109,193,4,24.15
110,28981,29,45.25
111,32032,21,81.25
112,9407,6,14.24
113,12187,7,8.72
114,15786,29,18.73
115,17485,48,31.14
116,40071,30,15.63
117,34139,48,23.75
118,44373,29,31.16
119,21916,5,12.27
120,47978,6,37.56
121,16727,17,22.26
122,46044,2,2.12
123,4441,21,80.72
124,9759,49,48.08
125,21464,10,29.1
126,36172,2,16.91
127,35926,41,21.78
128,35749,48,47.6
129,33933,48,14.63
130,20949,45,5.15
131,22037,42,16.53
132,39546,8,11.42
133,46091,40,58.45
134,36493,5,16.21
135,16332,38,84.53
136,2686,5,23.5
137,5243,14,177.82
138,18814,35,64.33
139,15000,1,27.27
140,30310,38,40.21
141,43845,27,36.09
142,20604,33,52.43
143,33354,34,7.65
144,37072,34,1.1
145,19953,12,12.95
146,44530,27,50.04
147,20699,28,29.88
148,46162,2,11.69
149,45634,15,102.62
150,15881,13,6.73
151,4343,46,36.51
152,3786,47,37.34
153,27737,50,42.2
154,27348,26,87.94
155,47374,46,94.12
156,36182,44,111.48
157,29835,24,22.5
158,30496,36,48.46
159,10425,47,19.25
160,7884,44,209.21
161,48895,11,72.67
162,15448,12,16.18
163,14675,42,62.52
164,34292,40,17.44
165,537,37,16.31
166,6923,14,49.48
167,6195,39,48.27
168,30541,42,111.33
169,48606,41,6.66
